fold,n_tr,n_va,rmse,mae
3,213,21,0.024270309183272398,0.024270309135317802
4,234,22,0.034445470067120454,0.03423372656106949
5,256,21,0.044361543403196854,0.04436154291033745
7,294,21,0.05610649683628622,0.05610649660229683
8,315,21,0.020394913529123305,0.020394913852214813
9,336,21,0.007151676886723635,0.007151676807552576
11,377,21,0.005719625278911812,0.005719625391066074
14,438,21,0.011066971285671868,0.011066971346735954
15,459,22,0.015142697261123675,0.012000543996691704
