vol_reg,trend_reg,thr,cum_perf,sharpe,max_dd,trades,n
0,-1,0.5,0.20872678089273733,2.5815523740547346,0.06500755501953837,80,164
0,-1,0.51,0.18159125149472666,2.362932639876882,0.05515078327058265,73,164
0,-1,0.52,0.17867180973548336,2.337126422822007,0.055150783270582315,71,164
0,-1,0.53,0.17119653594738504,2.3250167432921347,0.061780907468031665,66,164
0,-1,0.45,0.22838226554366048,2.311861414894159,0.06626391251739461,96,164
1,1,0.49,1.3204785196840576,2.1764048625984276,0.10678875881086747,397,574
1,1,0.48,1.326577565704374,2.169632559111483,0.10678875881086747,407,574
1,1,0.47,1.2368079872458386,2.0299322712952415,0.12333132427938343,422,574
0,-1,0.49,0.16816239500215824,2.0193473839379084,0.07554908912199576,83,164
1,1,0.58,0.8848352811341296,2.005891144026499,0.08459999943583474,258,574
1,1,0.59,0.8670570561255189,1.9996051911968973,0.0845999994358353,247,574
0,-1,0.54,0.14255959155439712,1.9916762267677555,0.0654168179659318,60,164
1,1,0.5,1.112787169756917,1.9656762881420757,0.14809556495662057,389,574
1,1,0.46,1.1926502479106635,1.950857324209018,0.1356600653387724,437,574
0,-1,0.55,0.13761205637593643,1.9395391100863413,0.06541681796593202,57,164
1,1,0.56,0.9011455911987056,1.925943788000107,0.09590851880273799,287,574
1,1,0.57,0.862699947223786,1.9137662186161402,0.08737674406046114,270,574
1,1,0.45,1.1427754770589176,1.8766960546044242,0.13277881043435524,447,574
0,-1,0.46,0.16878315686687317,1.8683786750340574,0.08563553153921466,94,164
1,1,0.51,1.0084869849033158,1.8553480165953187,0.16940650711167016,369,574
1,1,0.6,0.7101393189790932,1.7828883729507412,0.07307500898025643,228,574
1,1,0.62,0.6688560717770713,1.7510044006557643,0.06395602656220722,203,574
1,1,0.55,0.8117237722349244,1.7390350074825212,0.09888232613896075,307,574
1,1,0.52,0.8701578354575568,1.7116045154280457,0.1973476655150581,349,574
1,1,0.63,0.600341264895176,1.7066160025116919,0.06141259494177198,184,574
0,-1,0.47,0.1461451241104823,1.6764233631442107,0.08655292759103073,90,164
1,1,0.61,0.5992523298774952,1.5976436993432128,0.0730750089802561,216,574
1,1,0.53,0.7587375083247847,1.5808760458296245,0.19425626930710638,334,574
0,-1,0.48,0.13236106052603414,1.5432932886615596,0.08316706448572608,87,164
0,-1,0.71,0.026553614163440598,1.5283736174379814,0.005580127936615553,4,164
0,-1,0.72,0.026553614163440598,1.5283736174379814,0.005580127936615553,4,164
0,-1,0.73,0.026553614163440598,1.5283736174379814,0.005580127936615553,4,164
1,1,0.65,0.470433671196983,1.5166692343929424,0.08473653684897942,154,574
1,1,0.64,0.4877959448845426,1.5144819558606055,0.06776210346713052,167,574
1,1,0.54,0.6951195692504106,1.4999306415227653,0.1746061695840918,324,574
2,1,0.62,0.45947949602390303,1.360465051008163,0.09930055760599799,159,376
0,1,0.45,0.7390297463502571,1.2925770411950208,0.12260574794940038,547,672
2,1,0.48,0.49328246420739164,1.224859330131166,0.23605513553476443,254,376
2,1,0.47,0.4946670012826804,1.220280482350892,0.26229241205539366,261,376
0,1,0.46,0.6727496021954242,1.2165139196326327,0.12260574794940005,536,672
2,1,0.61,0.40940387480222284,1.2109613704585531,0.12623837996379617,167,376
2,1,0.49,0.4370255666669043,1.1289325415164113,0.23114050914625828,247,376
0,1,0.62,0.2933810441244582,1.1195315139375506,0.09681293785336809,166,672
2,1,0.45,0.4547868221720339,1.111897267566178,0.26588669419295463,275,376
2,1,0.52,0.40728865354155963,1.1095318245252745,0.1642074968741819,224,376
2,1,0.59,0.3698262968866477,1.0988467299894702,0.12623837996379617,182,376
0,1,0.63,0.2702345422018182,1.0762427041152873,0.0915506454038324,149,672
2,1,0.46,0.4300334491955855,1.0752116598956583,0.2986960609242808,269,376
2,1,0.57,0.37208892457037557,1.070607316162258,0.13396980240745382,197,376
0,1,0.47,0.5392933040652017,1.0422787540572414,0.13748644312448755,520,672
2,1,0.6,0.3414335598708629,1.0391045045194907,0.13240920468582706,177,376
0,1,0.66,0.22431736886907694,1.0260351512445975,0.08491979446077058,94,672
2,1,0.63,0.30825651878176474,1.0207998176311848,0.1118683611721325,150,376
1,-1,0.73,0.03010509202814915,0.9982722968055112,0.013389947874927421,10,263
1,-1,0.74,0.03010509202814915,0.9982722968055112,0.013389947874927421,10,263
2,1,0.53,0.3473614813606849,0.9873151180549289,0.17143573690248282,218,376
1,1,0.66,0.24821758655215187,0.9836744739641797,0.078265153919717,132,574
0,1,0.56,0.3439115062378797,0.9696335797591884,0.10110743799080235,331,672
2,1,0.51,0.342279326531439,0.9560622908110724,0.21774618978767557,235,376
1,-1,0.75,0.027013445243666556,0.943251037674162,0.013389947874927421,8,263
2,1,0.55,0.3195398898386419,0.9309748928057223,0.17783655663370712,210,376
0,1,0.49,0.4308533618837813,0.927369296989678,0.11847250454282898,483,672
2,1,0.58,0.29801871371583344,0.9165384204139935,0.14186355184319333,189,376
0,1,0.67,0.18925193655072858,0.9095787405856881,0.10096093376408721,80,672
2,1,0.54,0.3067237583331004,0.9006015749372679,0.1919733048466873,215,376
0,1,0.57,0.2928527221331434,0.8968809949313004,0.10607731485158856,306,672
0,1,0.48,0.41708301568969364,0.8921272335296566,0.11847250454282898,503,672
2,1,0.5,0.30990460356270266,0.8806390999107366,0.24255216127312207,242,376
0,1,0.64,0.2011671916274087,0.8654168073500494,0.09054324480702358,129,672
2,1,0.56,0.2739894922369266,0.8369409507974757,0.15961683742296173,204,376
0,1,0.58,0.25721961571518026,0.8161934100694684,0.10226955482061262,291,672
0,1,0.5,0.3546483273764236,0.8136068810630624,0.13710909491206147,461,672
0,1,0.61,0.2141674908557658,0.8052607161608542,0.11140812072659323,194,672
0,1,0.65,0.17342662641379336,0.7735672413486862,0.08491979446077058,109,672
2,1,0.66,0.20193392105378316,0.7598461435416368,0.13306718459786815,135,376
0,1,0.59,0.21873846483395631,0.7426078408924446,0.10260748356337857,250,672
0,1,0.54,0.2723547678111413,0.7117130000821893,0.1754990180343815,379,672
