n_days,bh_cum,sharpe,maxdd,avg_ret_1d,vol_1d,group
857,6.16230913799305,1.1299469261608,0.5296349460749389,0.0031363820257361433,0.04406270771281312,-1
1,0.0,0.0,-0.0,0.0,,0
1656,6.04524813706633,1.0923742347587864,0.4978841643682175,0.0013903544587365129,0.020204790710814477,1
