Date,Symbol,pred_ret,actual_ret,err_1,abs_err_1,hit,err_ma5,err_ma20,bias20,hit20
2025-10-27,AAPL,0.0,0.0007068280314421749,0.0007068280314421749,0.0007068280314421749,0,0.0007068280314421749,0.0007068280314421749,0.0007068280314421749,0.0
2025-10-28,AAPL,-0.012834343960418049,0.007583674888185454,0.020418018848603503,0.020418018848603503,0,0.010562423440022839,0.010562423440022839,0.010562423440022839,0.0
2025-10-27,AMD,0.00015404166827104326,-0.006392743005619872,-0.006546784673890915,0.006546784673890915,0,-0.006546784673890915,-0.006546784673890915,-0.006546784673890915,0.0
2025-10-28,AMD,0.024685177340470377,0.026806641502863826,0.0021214641623934494,0.0021214641623934494,1,-0.002212660255748733,-0.002212660255748733,-0.002212660255748733,0.5
2025-10-27,AMZN,0.001453936643609266,0.010045375014470892,0.008591438370861626,0.008591438370861626,1,0.008591438370861626,0.008591438370861626,0.008591438370861626,1.0
2025-10-28,AMZN,0.001321760585099474,-0.00368593771299075,-0.005007698298090224,0.005007698298090224,0,0.001791870036385701,0.001791870036385701,0.001791870036385701,0.5
2025-10-27,GOOGL,0.0023767965239351874,-0.006684695162509802,-0.009061491686444989,0.009061491686444989,0,-0.009061491686444989,-0.009061491686444989,-0.009061491686444989,0.0
2025-10-28,GOOGL,-0.027518847253685808,0.006243741055492746,0.033762588309178554,0.033762588309178554,0,0.012350548311366782,0.012350548311366782,0.012350548311366782,0.0
2025-10-27,KO,-0.0012846131886954382,0.001427435155589185,0.0027120483442846233,0.0027120483442846233,0,0.0027120483442846233,0.0027120483442846233,0.0027120483442846233,0.0
2025-10-28,KO,-0.022837567799029568,-0.012970404997296625,0.009867162801732943,0.009867162801732943,1,0.006289605573008783,0.006289605573008783,0.006289605573008783,0.5
2025-10-27,MSFT,0.0006584888621312679,0.019848712005754443,0.019190223143623175,0.019190223143623175,1,0.019190223143623175,0.019190223143623175,0.019190223143623175,1.0
2025-10-28,MSFT,-9.40698374471971e-05,-0.0071208244311767865,-0.0070267545937295894,0.0070267545937295894,1,0.006081734274946793,0.006081734274946793,0.006081734274946793,1.0
2025-10-27,NVDA,0.004386652044493289,0.049819797443545255,0.045433145399051966,0.045433145399051966,1,0.045433145399051966,0.045433145399051966,0.045433145399051966,1.0
2025-10-28,NVDA,0.018538827092798416,0.04621205094430225,0.027673223851503836,0.027673223851503836,1,0.0365531846252779,0.0365531846252779,0.0365531846252779,1.0
2025-10-27,TSLA,0.004022810662658527,0.017969970655449474,0.013947159992790947,0.013947159992790947,1,0.013947159992790947,0.013947159992790947,0.013947159992790947,1.0
2025-10-28,TSLA,-0.013593563502939832,0.006546552444580245,0.020140115947520076,0.020140115947520076,0,0.017043637970155512,0.017043637970155512,0.017043637970155512,0.5
