fold,n_tr,n_va,rmse,mae
3,213,21,0.004416673437518635,0.004416673444211483
4,234,22,0.014104883246787143,0.012519733980298042
5,256,21,0.04349311391458092,0.0434931144118309
7,294,21,0.03367713785033125,0.03367713838815689
8,315,21,0.06442470718785573,0.06442470848560333
9,336,21,0.07058419280331615,0.07058419287204742
11,377,21,0.04549471355574187,0.04549471288919449
14,438,21,0.04264333078260666,0.04264333099126816
15,459,22,0.0475155751360726,0.04739442467689514
