fold,n_tr,n_va,rmse,mae
3,213,21,0.055485583575129366,0.05548558384180069
4,234,22,0.055620446182817106,0.05503268539905548
5,256,21,0.014027359222832743,0.014027358964085579
7,294,21,0.01909550654549209,0.01909550651907921
8,315,21,0.009976219233815859,0.00997621938586235
9,336,21,0.16641196456015858,0.16641196608543396
11,377,21,0.0014004763348850228,0.0014004763215780258
14,438,21,0.162288027297345,0.16228802502155304
15,459,22,0.005684062136156577,0.0053075454197824
