fold,n_tr,n_va,rmse,mae
3,213,21,0.002101874935519943,0.0021018749102950096
4,234,22,0.026363985211569328,0.02616366744041443
5,256,21,0.08932769322853971,0.08932769298553467
7,294,21,0.0030936999326245814,0.003093699924647808
8,315,21,0.00413000221495897,0.004130002111196518
9,336,21,0.018763393440287213,0.01876339316368103
11,377,21,0.034351889199895486,0.0343518890440464
14,438,21,0.08738125914385424,0.0873812586069107
15,459,22,0.008455470319781219,0.008083010092377663
