fold,n_tr,n_va,rmse,mae
3,213,21,0.0036797812367909874,0.0036797812208533287
4,234,22,0.1064088741544673,0.10110065340995789
5,256,21,0.003025706829480486,0.003025706857442856
7,294,21,0.0006838738859860878,0.0006838738918304443
8,315,21,0.16059181252739949,0.16059181094169617
9,336,21,0.002878379309898565,0.0028783793095499277
11,377,21,0.03183499785364706,0.03183499723672867
14,438,21,0.046138412549946446,0.04613841325044632
15,459,22,0.01223671463194587,0.01220880076289177
